id,fips,econ_year,unemp_rate,num_unemployed
754,18073,2020,7,1093
755,18075,2020,6.6,577
756,18077,2020,7.4,1107
757,18079,2020,7.6,1033
758,18081,2020,5.6,4623
759,18083,2020,5.9,1080
760,18085,2020,6.1,2541
761,18087,2020,6.4,1233
762,18089,2020,10.3,23196
763,18091,2020,9.5,4520
764,18093,2020,6.9,1435
765,18095,2020,7.9,4621
766,18097,2020,7.9,38918
767,18099,2020,6.4,1456
768,18101,2020,4.2,229
769,18103,2020,8.2,1237
770,18105,2020,5.5,3765
771,18107,2020,5.2,958
772,18109,2020,5.4,1912
773,18111,2020,6.9,452
774,18113,2020,8.4,1905
775,18115,2020,7.4,233
776,18117,2020,11.1,941
777,18119,2020,6.3,568
778,18121,2020,5.5,376
779,18123,2020,6.5,594
780,18125,2020,5.9,362
781,18127,2020,8.1,6767
782,18129,2020,4.9,632
783,18131,2020,6.1,388
784,18133,2020,6.2,1018
785,18135,2020,6.6,735
786,18137,2020,6.4,884
787,18139,2020,6.3,547
788,18141,2020,8.4,11188
789,18143,2020,8.4,878
790,18145,2020,7.1,1643
791,18147,2020,5.6,579
792,18149,2020,8,783
793,18151,2020,6.2,1242
794,18153,2020,7,551
795,18155,2020,8.1,388
796,18157,2020,6.3,5936
797,18159,2020,6.1,554
798,18161,2020,5.5,189
799,18163,2020,7.2,6559
800,18165,2020,7.5,496
801,18167,2020,7.9,3616
802,18169,2020,6.1,884
803,18171,2020,5.4,216
804,18173,2020,5.4,1724
805,18175,2020,6.9,932
806,18177,2020,6.8,2038
807,18179,2020,5.7,795
808,18181,2020,5,668
809,18183,2020,5.9,1016
810,19000,2020,5.3,87655
811,19001,2020,4,166
812,19003,2020,3.8,77
813,19005,2020,5.1,359
814,19007,2020,5.3,313
815,19009,2020,3.4,103
816,19011,2020,5,652
817,19013,2020,6.2,4145
818,19015,2020,4.1,588
819,19017,2020,3.9,533
820,19019,2020,4.6,507
821,19021,2020,3.7,426
822,19023,2020,4.7,358
823,19025,2020,4.1,168
824,19027,2020,4,417
825,19029,2020,3.9,263
826,19031,2020,4.4,453
827,19033,2020,5.2,1203
828,19035,2020,3.8,234
829,19037,2020,4.7,295
830,19039,2020,5.4,257
831,19041,2020,4.5,378
832,19043,2020,5.7,553
833,19045,2020,6.7,1480
834,19047,2020,5.2,416
835,19049,2020,3.6,1785
836,19051,2020,4,165
837,19053,2020,3.8,162
838,19055,2020,4,412
839,19057,2020,7.5,1387
840,19059,2020,5.1,497
841,19061,2020,5.9,3211
842,19063,2020,5,250
843,19065,2020,5.5,564
844,19067,2020,6,499
845,19069,2020,3.8,212
846,19071,2020,3.1,115
847,19073,2020,4.2,226
848,19075,2020,4.4,274
849,19077,2020,5,269
850,19079,2020,4.4,299
851,19081,2020,4.7,269
852,19083,2020,4.6,360
853,19085,2020,4,284
854,19087,2020,5.3,504
855,19089,2020,4.5,226
856,19091,2020,4.2,209
857,19093,2020,3.6,142
858,19095,2020,4.4,444
859,19097,2020,6.1,647
860,19099,2020,5.3,1020
861,19101,2020,5.7,539
862,19103,2020,4.8,4032
863,19105,2020,5.7,584
864,19107,2020,4.9,254
865,19109,2020,3.8,308
866,19111,2020,6.5,1027
867,19113,2020,6.4,7553
868,19115,2020,5,293
869,19117,2020,3.6,169
870,19119,2020,2.5,171
871,19121,2020,5.7,479
872,19123,2020,4.8,561
873,19125,2020,4.2,751
874,19127,2020,7.1,1236
875,19129,2020,3.9,281
876,19131,2020,3.4,205
877,19133,2020,4.8,208
878,19135,2020,5.2,204
879,19137,2020,4.7,226
880,19139,2020,6,1257
881,19141,2020,3.4,272
882,19143,2020,2.9,101
883,19145,2020,5,308
884,19147,2020,4.6,210
885,19149,2020,3.6,514
886,19151,2020,3.5,148
887,19153,2020,6,15876
888,19155,2020,5.2,2478
889,19157,2020,4.9,480
890,19159,2020,3.9,92
891,19161,2020,3.5,181
892,19163,2020,6.8,5862
893,19165,2020,3.6,228
894,19167,2020,2.7,558
895,19169,2020,3.6,2036
896,19171,2020,5.1,472
897,19173,2020,3.7,112
898,19175,2020,5.9,361
899,19177,2020,4.6,170
900,19179,2020,6,1035
901,19181,2020,4.6,1256
902,19183,2020,4.1,469
903,19185,2020,4.5,125
904,19187,2020,5.2,977
905,19189,2020,6.4,322
906,19191,2020,4.9,545
907,19193,2020,5.3,2861
908,19195,2020,5.4,221
909,19197,2020,4,276
910,20000,2020,5.9,88008
911,20001,2020,5.4,347
912,20003,2020,4.1,175
913,20005,2020,6.9,471
914,20007,2020,3.4,78
915,20009,2020,4.6,634
916,20011,2020,5.6,380
917,20013,2020,4.5,230
918,20015,2020,6.5,2130
919,20017,2020,5.5,81
920,20019,2020,6.1,90
921,20021,2020,5.2,522
922,20023,2020,2.2,29
923,20025,2020,2,23
924,20027,2020,4.5,171
925,20029,2020,4.1,157
926,20031,2020,5.2,204
927,20033,2020,3.5,30
928,20035,2020,6.5,1098
929,20037,2020,5.5,1046
930,20039,2020,3.7,46
931,20041,2020,4.9,431
932,20043,2020,4.5,188
933,20045,2020,6.1,3888
934,20047,2020,3,44
935,20049,2020,4.8,56
936,20051,2020,3.5,592
937,20053,2020,3.3,89
938,20055,2020,3.5,712
939,20057,2020,3.4,584
940,20059,2020,5.4,769
941,20061,2020,6.9,800
942,20063,2020,2.9,42
943,20065,2020,4.6,52
944,20067,2020,4.1,127
945,20069,2020,2.2,72
946,20071,2020,1.8,15
947,20073,2020,5.2,164
948,20075,2020,1.7,28
949,20077,2020,4.4,124
950,20079,2020,5.3,900
951,20081,2020,2.4,53
952,20083,2020,2.7,27
953,20085,2020,5.4,393
954,20087,2020,4.9,499
955,20089,2020,3.1,39
956,20091,2020,5.1,17602
957,20093,2020,2.7,55
958,20095,2020,5.2,174
959,20097,2020,3.3,41
960,20099,2020,5.6,544
961,20101,2020,2.9,22
962,20103,2020,5.8,2135
963,20105,2020,2.9,50
964,20107,2020,7,306
965,20109,2020,2.5,41
966,20111,2020,4.8,790
967,20113,2020,3.5,599
968,20115,2020,4.1,245
969,20117,2020,3.1,173
970,20119,2020,2.8,60
971,20121,2020,5,888
972,20123,2020,2.7,94
973,20125,2020,7.3,1078
974,20127,2020,3.9,121
975,20129,2020,3,34
976,20131,2020,3,166
977,20133,2020,6.4,401
